release_id,pdf_page,entity_type,value_verbatim
DOW-UAP-D092,2,PERSON,Dr. James McDonald
DOW-UAP-D092,2,PERSON,Lt. Col. Harold A. Steiner
DOW-UAP-D092,2,PERSON,Col. George Freeman
DOW-UAP-D092,2,PERSON,Col. Marvin Stanley
DOW-UAP-D092,2,PERSON,Mr. James Hughes
DOW-UAP-D092,2,PERSON,Maj. Joseph P. Martino
DOW-UAP-D092,2,PERSON,Dr. J. Thomas Ratchford
DOW-UAP-D092,2,PERSON,Maj. William Metscher
DOW-UAP-D092,2,ORG,OAR
DOW-UAP-D092,2,ORG,USAF
DOW-UAP-D092,2,ORG,SAFOI-C
DOW-UAP-D092,2,ORG,SAFOIP
DOW-UAP-D092,2,ORG,NASA
DOW-UAP-D092,2,ORG,ONR
DOW-UAP-D092,2,ORG,AFOSR (SRGC)
DOW-UAP-D092,2,ORG,AFOSR (SRPS)
DOW-UAP-D092,2,ORG,OAR (RROSP)
DOW-UAP-D092,2,DATE,17 April 1967
DOW-UAP-D092,2,LOCATOR,Room SD982
DOW-UAP-D092,2,LOCATOR,Tele. 697-4648
DOW-UAP-D092,2,LOCATOR,Code 11-74648
DOW-UAP-D092,2,LOCATOR,Room 4A
DOW-UAP-D092,2,LOCATOR,Tele. 697-1128
DOW-UAP-D092,2,LOCATOR,Code 11-71128
DOW-UAP-D092,2,LOCATOR,Room 4C922
DOW-UAP-D092,2,LOCATOR,Tele. 695-5554
DOW-UAP-D092,2,LOCATOR,Code 11-55554
DOW-UAP-D092,2,LOCATOR,Room F50016
DOW-UAP-D092,2,LOCATOR,Tele. 962-4961
DOW-UAP-D092,2,LOCATOR,Code 13-24961
DOW-UAP-D092,2,LOCATOR,Room 50016
DOW-UAP-D092,2,LOCATOR,Room F50078
DOW-UAP-D092,2,LOCATOR,Tele. 962-4621
DOW-UAP-D092,2,LOCATOR,Code 13-24621
DOW-UAP-D092,2,LOCATOR,Tele. 696-3563
DOW-UAP-D092,2,LOCATOR,Code 11-63563
DOW-UAP-D092,2,LOCATOR,Tele. 696-6739
DOW-UAP-D092,2,LOCATOR,Code 11-66739
DOW-UAP-D092,2,LOCATOR,Tele. 558-1641
DOW-UAP-D092,2,LOCATOR,Tele. 558-1653
DOW-UAP-D092,2,LOCATOR,Tele. 967-8088
DOW-UAP-D092,2,LOCATOR,Tele. 694-4875
DOW-UAP-D092,2,LOCATOR,Code 11-44875
DOW-UAP-D092,2,LOCATOR,Tele. 694-5588
DOW-UAP-D092,2,LOCATOR,Code 11-45588
DOW-UAP-D092,2,LOCATOR,Tele. 694-5505
DOW-UAP-D092,2,LOCATOR,Code 11-45505
DOW-UAP-D092,5,PERSON,Lt Colonel Steiner
DOW-UAP-D092,5,PERSON,Dr. Brian O'Brien Chairman Consultant
DOW-UAP-D092,5,PERSON,Dr. Jesse Orla.nsky Member IDA
DOW-UAP-D092,5,PERSON,Col Robert Burger SAB Secretary
DOW-UAP-D092,5,PERSON,Mrs. Sara Hunt Participant SAFOI
DOW-UAP-D092,5,PERSON,Col Harold A. Steiner SAB
DOW-UAP-D092,5,PERSON,Lt Colonel
DOW-UAP-D092,5,ORG,USAF
DOW-UAP-D092,5,ORG,Project Blue Book
DOW-UAP-D092,5,ORG,IDA
DOW-UAP-D092,5,ORG,SAFOI
DOW-UAP-D092,5,ORG,USAF (AFRSA)
DOW-UAP-D092,5,DATE,19 April 1966
DOW-UAP-D092,5,DATE,20 Apr 66
DOW-UAP-D092,5,LOCATOR,Room 5D-1014
DOW-UAP-D092,6,PERSON,Dr. Stever
DOW-UAP-D092,6,PERSON,Lt Col Hippler
DOW-UAP-D092,6,PERSON,Mrs. Sara Hunt
DOW-UAP-D092,6,ORG,USAF
DOW-UAP-D092,6,DATE,20 Apr 66
DOW-UAP-D092,6,DATE,19 April 66
DOW-UAP-D092,7,PERSON,Dr. Brian O'Brien Chairman Consultant
DOW-UAP-D092,7,PERSON,Dr. IB.unor F. Carter Member
DOW-UAP-D092,7,PERSON,Dr. Jesse Orlanaky Member IDA
DOW-UAP-D092,7,PERSON,Dr. Richard Porter Member GE
DOW-UAP-D092,7,PERSON,Dr. Carl Sagan Member Smithsonian
DOW-UAP-D092,7,PERSON,Dr. Willis H. Ware Member
DOW-UAP-D092,7,PERSON,Col John P. Spaul.ding Briefer
DOW-UAP-D092,7,PERSON,Dr. Anthony Cacioppo Participant Fl'D
DOW-UAP-D092,7,PERSON,Col Warren Wheeler Participant FTD
DOW-UAP-D092,7,PERSON,Maj Hector Quintanella. Briefer FTD
DOW-UAP-D092,7,PERSON,Mr. Francis Arcier Participant Consultant
DOW-UAP-D092,7,PERSON,Col Florian Holm Briefer F'I'D
DOW-UAP-D092,7,PERSON,Col Harold A. Steiner SAB
DOW-UAP-D092,7,PERSON,Lt Col
DOW-UAP-D092,7,ORG,USAF
DOW-UAP-D092,7,ORG,FTD
DOW-UAP-D092,7,ORG,Project Blue Book
DOW-UAP-D092,7,ORG,IDA
DOW-UAP-D092,7,DATE,17 January 1953
DOW-UAP-D092,8,PERSON,Dr. O'Brien
DOW-UAP-D092,8,PERSON,Lt Col Spaulding
DOW-UAP-D092,8,PERSON,Lt Colonel
DOW-UAP-D092,8,ORG,FTD
DOW-UAP-D092,8,ORG,SAFOI
DOW-UAP-D092,8,ORG,USAF
DOW-UAP-D092,8,DATE,22 December 1965
DOW-UAP-D092,9,PERSON,Dr. Brian O'Brien Colcael Robert
DOW-UAP-D092,9,PERSON,Dr. Jesse Orlansky Lt Col
DOW-UAP-D092,9,PERSON,Lt Col Robert Hippler
DOW-UAP-D092,9,PERSON,Lt Colonel Hippler
DOW-UAP-D092,9,ORG,Project Blue Book
DOW-UAP-D092,9,ORG,FTD
DOW-UAP-D092,9,DATE,20 April 1966
DOW-UAP-D092,9,LOCATOR,Room 5D-
DOW-UAP-D092,10,PERSON,Dr. Orlsnsky
DOW-UAP-D092,10,PERSON,Dr. O'Brien
DOW-UAP-D092,10,PERSON,Dr. Stever
DOW-UAP-D092,10,PERSON,Dr. J. Allen Hynek
DOW-UAP-D092,10,PERSON,Dr. Donald Menzel
DOW-UAP-D092,10,ORG,AFSC
DOW-UAP-D092,10,ORG,OSI
DOW-UAP-D092,11,PERSON,Mrs. MarJorie Wilson
DOW-UAP-D092,11,PERSON,Lt Col
DOW-UAP-D092,12,PERSON,Mr. Baillie
DOW-UAP-D092,13,PERSON,Mr. David Smith
DOW-UAP-D092,13,PERSON,Mr. Peer DeSilva
DOW-UAP-D092,13,PERSON,Mr. Jesse Orlanaky
DOW-UAP-D092,13,ORG,USAF
DOW-UAP-D092,13,DATE,31 July 1967
DOW-UAP-D092,15,PERSON,Dr. Stever Concerning SAB Support
DOW-UAP-D092,15,PERSON,Dr. Stever. In
DOW-UAP-D092,15,PERSON,Dr. Stever
DOW-UAP-D092,15,PERSON,Dr. SteTer
DOW-UAP-D092,15,ORG,USAF
DOW-UAP-D092,15,DATE,18 May 1966
DOW-UAP-D092,16,PERSON,Dr. Stever
DOW-UAP-D092,16,PERSON,Lt Col Hippler
DOW-UAP-D092,16,PERSON,Dr. Brian O'Brien
DOW-UAP-D092,18,ORG,AFSC
DOW-UAP-D092,19,PERSON,Lt Colonel Steiner AFBSA
DOW-UAP-D092,19,ORG,Project Blue Book
DOW-UAP-D092,19,ORG,SAFOI
DOW-UAP-D092,19,ORG,FTD
DOW-UAP-D092,19,ORG,AFSC
DOW-UAP-D092,19,ORG,USAF
DOW-UAP-D092,19,DATE,30 March 1966
DOW-UAP-D092,19,DATE,28 September 1965
DOW-UAP-D092,19,DATE,28 Sep 65
DOW-UAP-D092,21,PERSON,Col Burger AFBSA
DOW-UAP-D092,21,PERSON,Dr. Stever
DOW-UAP-D092,21,PERSON,Dr. Markey
DOW-UAP-D092,21,ORG,FTD
DOW-UAP-D092,21,ORG,USAF
DOW-UAP-D092,21,DATE,5 October 1965
DOW-UAP-D092,22,ORG,Project Blue Book
DOW-UAP-D092,22,DATE,30 June 1965
DOW-UAP-D092,23,ORG,Project Blue Book
DOW-UAP-D092,23,ORG,USAF
DOW-UAP-D092,24,PERSON,Lt. Colonel Harold A. Steiner
DOW-UAP-D092,24,ORG,USAF
DOW-UAP-D092,24,DATE,"February 13, 1969"
DOW-UAP-D092,25,PERSON,Lt. Colonel Harold A. Steiner
DOW-UAP-D092,25,ORG,USAF
DOW-UAP-D092,25,DATE,"February 28, 1969"
DOW-UAP-D092,26,PERSON,Lt Colonel
DOW-UAP-D092,26,PERSON,LtCol Ste
DOW-UAP-D092,26,ORG,USAF
DOW-UAP-D092,27,PERSON,Dr. Brian O'Brien Consultina Phyaicist
DOW-UAP-D092,27,PERSON,Dr. O'Brien
DOW-UAP-D092,27,PERSON,Lt Colonel
DOW-UAP-D092,27,PERSON,Dr. Launor F. Carter Mr
DOW-UAP-D092,27,PERSON,Dr. Richard Porter Dr. Carl
DOW-UAP-D092,27,PERSON,Dr. Willis H. Ware
DOW-UAP-D092,27,ORG,USAF
DOW-UAP-D092,27,DATE,6 February 1969
DOW-UAP-D092,27,MARKING,Secret
DOW-UAP-D092,28,PERSON,Mr. Don Berliner National Inveatigations
DOW-UAP-D092,28,ORG,Project Blue Book
DOW-UAP-D092,28,ORG,USAF
DOW-UAP-D092,28,DATE,27 February 1968
DOW-UAP-D092,28,DATE,26 February 1968
DOW-UAP-D092,29,PERSON,Mr. Don Berliner Natianal Investigations
DOW-UAP-D092,29,PERSON,Lt Colonel
DOW-UAP-D092,29,ORG,USAF
DOW-UAP-D092,29,ORG,Project Blue Book
DOW-UAP-D092,29,DATE,28 February 1968
DOW-UAP-D092,30,PERSON,Lt. Col. Harold A. Steiner Aasiatar
DOW-UAP-D092,30,PERSON,Col. Steiners Encleaed
DOW-UAP-D092,30,ORG,USAF
DOW-UAP-D092,30,ORG,NICAP
DOW-UAP-D092,30,DATE,"Feb. 28, 1968"
DOW-UAP-D092,31,PERSON,Mr. Don Berliner
DOW-UAP-D092,31,ORG,Project Bluebook
DOW-UAP-D092,31,ORG,SAF-OICO
DOW-UAP-D092,32,PERSON,Mr. Chester N. Hasert Acting
DOW-UAP-D092,32,PERSON,Mr. Smith
DOW-UAP-D092,32,PERSON,Dr. H. Guyford Stever NW
DOW-UAP-D092,32,ORG,USAF
DOW-UAP-D092,32,DATE,"July 27, 1967"
DOW-UAP-D092,32,LOCATOR,Room 5D
DOW-UAP-D092,33,PERSON,Dr. Bill Price's
DOW-UAP-D092,33,PERSON,Dr. Edward V. Condon
DOW-UAP-D092,33,PERSON,Mr. Robert J. Low
DOW-UAP-D092,33,PERSON,Dr. W. K. Hartman
DOW-UAP-D092,33,PERSON,Dr. William Price
DOW-UAP-D092,33,PERSON,Dr. Tom Ratchford
DOW-UAP-D092,33,PERSON,Dr. Jesse Orlansky
DOW-UAP-D092,33,PERSON,Dr. Willis Ware
DOW-UAP-D092,33,PERSON,Mr. Chester N. Hasert
DOW-UAP-D092,33,PERSON,Lt Col Harold A. Steiner
DOW-UAP-D092,33,PERSON,Lt Col Robert Hippler
DOW-UAP-D092,33,PERSON,Mr. Charles K. Reed
DOW-UAP-D092,33,PERSON,Mr. L. V. Brasher
DOW-UAP-D092,33,PERSON,Mr. Dan Taylor
DOW-UAP-D092,33,ORG,Project Blue Book
DOW-UAP-D092,33,DATE,16 May 1967
DOW-UAP-D092,33,DATE,5 May 1967
DOW-UAP-D092,34,PERSON,Mr. Richard Hall
DOW-UAP-D092,34,ORG,NICAP
DOW-UAP-D092,34,ORG,Project Blue Book
DOW-UAP-D092,35,PERSON,Dr. Stever
DOW-UAP-D092,35,PERSON,Dr. Condon. Lt Colonel
DOW-UAP-D092,35,ORG,NICAP
DOW-UAP-D092,35,ORG,USAF
DOW-UAP-D092,35,DATE,1 January 1967
DOW-UAP-D092,36,PERSON,Mr. William P. Wietzel
DOW-UAP-D092,36,PERSON,Mr. William Wietzel
DOW-UAP-D092,36,PERSON,Mr. Wietzel
DOW-UAP-D092,36,PERSON,Mr. Wietzel's
DOW-UAP-D092,36,PERSON,Lt Colonel
DOW-UAP-D092,36,ORG,NICAP
DOW-UAP-D092,36,ORG,USAF
DOW-UAP-D092,36,DATE,10 August 1966
DOW-UAP-D092,36,MARKING,restricted
DOW-UAP-D092,42,PERSON,Lt Col John P. Spaulding
DOW-UAP-D092,42,PERSON,Mrs. Sarah Hunt
DOW-UAP-D092,42,ORG,SAFOI
DOW-UAP-D092,42,ORG,FTD
DOW-UAP-D092,42,DATE,1 January 1966
DOW-UAP-D092,43,ORG,SAFOI
DOW-UAP-D092,43,ORG,Project Blue Book
DOW-UAP-D092,43,ORG,USAF
DOW-UAP-D092,43,ORG,FTD
DOW-UAP-D092,45,ORG,USAF
DOW-UAP-D092,49,DATE,16 February 1953
DOW-UAP-D092,50,PERSON,Dr. H.P. Robertson
DOW-UAP-D092,50,PERSON,Dr. Thornton Page
DOW-UAP-D092,50,PERSON,Dr. Samuel A. Goudsmit
DOW-UAP-D092,50,PERSON,Dr. Lloyd V. Berk
DOW-UAP-D092,50,ORG,CIA
DOW-UAP-D092,50,ORG,ATIC
DOW-UAP-D092,51,PERSON,Capt. E. J. Ruppelt
DOW-UAP-D092,51,PERSON,Mr. E. J. Ruppelt
DOW-UAP-D092,51,ORG,CIA
DOW-UAP-D092,51,ORG,ATIC
DOW-UAP-D092,51,DATE,5 August 19
DOW-UAP-D092,52,PERSON,Mr. Ruppo
DOW-UAP-D092,52,PERSON,Mr. Ruppclt
DOW-UAP-D092,52,ORG,CIA
DOW-UAP-D092,52,ORG,ATIC
DOW-UAP-D092,53,PERSON,Dr. Lloyd V. Berkner
DOW-UAP-D092,53,ORG,ATIC
DOW-UAP-D092,53,ORG,CIA
DOW-UAP-D092,54,PERSON,Dr. Berkner. The
DOW-UAP-D092,54,ORG,USAF
DOW-UAP-D092,55,ORG,ATIC
DOW-UAP-D092,55,DATE,1 August 1952
DOW-UAP-D092,55,DATE,2 July 1952
DOW-UAP-D092,55,DATE,19 July 1952
DOW-UAP-D092,55,DATE,5 August 1952
DOW-UAP-D092,55,DATE,29 July 1952
DOW-UAP-D092,55,DATE,10 October 1952
DOW-UAP-D092,58,ORG,ATIC
DOW-UAP-D092,59,PERSON,Dr. Goudsmit
DOW-UAP-D092,59,PERSON,Dr. Page
DOW-UAP-D092,59,ORG,ATIC
DOW-UAP-D092,63,PERSON,Dr. Pase
DOW-UAP-D092,63,ORG,CIA
DOW-UAP-D092,63,ORG,ADC
DOW-UAP-D092,63,ORG,ATIC
DOW-UAP-D092,64,PERSON,Dr. Robertson
DOW-UAP-D092,64,ORG,ATIC
DOW-UAP-D092,65,PERSON,Dr. Page
DOW-UAP-D092,66,PERSON,Dr. Berkner
DOW-UAP-D092,66,ORG,ADC
DOW-UAP-D092,68,PERSON,Dr. Hadley Cantril
DOW-UAP-D092,68,MARKING,secret
DOW-UAP-D092,69,PERSON,Dr. Berknar
DOW-UAP-D092,69,ORG,ONR
DOW-UAP-D092,69,ORG,ATIC
DOW-UAP-D092,70,ORG,ATIC
DOW-UAP-D092,71,PERSON,Dr. Robertson
DOW-UAP-D092,71,ORG,ATIC
DOW-UAP-D092,71,ORG,ADC
DOW-UAP-D092,75,ORG,ATIC
DOW-UAP-D092,75,ORG,USAF
DOW-UAP-D092,75,DATE,17 January 1953
DOW-UAP-D092,75,DATE,2 July 1952
DOW-UAP-D092,76,ORG,USAF
CIA-UAP-D022,1,MARKING,UNCLASSIFIED
CIA-UAP-D022,1,MARKING,CONFIDENTIAL
CIA-UAP-D022,1,MARKING,SECRET
CIA-UAP-D022,2,MARKING,restricted
CIA-UAP-D022,2,MARKING,TOP SECRET
CIA-UAP-D022,5,MARKING,TOP SECRET
CIA-UAP-D022,5,MARKING,restricted
CIA-UAP-D022,6,ORG,OSI
CIA-UAP-D022,6,DATE,24 November 1964
FBI-UAP-D032,1,ORG,FBI
DOW-UAP-D097,1,ORG,USAF
DOW-UAP-D097,1,DATE,1 July 1948
DOW-UAP-D097,1,DATE,26 January 1948
DOW-UAP-D097,2,PERSON,Dr. Ining Langmuir
DOW-UAP-D097,3,DATE,Jul 47 0930
