release_id,pdf_page,entity_type,value_verbatim,value_normalized,norm_rule,candidate_flags
DOW-UAP-D092,2,PERSON,Dr. James McDonald,Dr. James McDonald,,CLEAN
DOW-UAP-D092,2,PERSON,Lt. Col. Harold A. Steiner,Lt Col Harold A. Steiner,RANK,CLEAN
DOW-UAP-D092,2,PERSON,Col. George Freeman,Col George Freeman,RANK,CLEAN
DOW-UAP-D092,2,PERSON,Col. Marvin Stanley,Col Marvin Stanley,RANK,CLEAN
DOW-UAP-D092,2,PERSON,Mr. James Hughes,Mr. James Hughes,,CLEAN
DOW-UAP-D092,2,PERSON,Maj. Joseph P. Martino,Maj Joseph P. Martino,RANK,CLEAN
DOW-UAP-D092,2,PERSON,Dr. J. Thomas Ratchford,Dr. J. Thomas Ratchford,,CLEAN
DOW-UAP-D092,2,PERSON,Maj. William Metscher,Maj William Metscher,RANK,CLEAN
DOW-UAP-D092,2,ORG,OAR,OAR,,CLEAN
DOW-UAP-D092,2,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,2,ORG,SAFOI-C,SAFOI-C,,CLEAN
DOW-UAP-D092,2,ORG,SAFOIP,SAFOIP,,CLEAN
DOW-UAP-D092,2,ORG,NASA,NASA,,CLEAN
DOW-UAP-D092,2,ORG,ONR,ONR,,CLEAN
DOW-UAP-D092,2,ORG,AFOSR (SRGC),AFOSR (SRGC),,CLEAN
DOW-UAP-D092,2,ORG,AFOSR (SRPS),AFOSR (SRPS),,CLEAN
DOW-UAP-D092,2,ORG,OAR (RROSP),OAR (RROSP),,CLEAN
DOW-UAP-D092,2,DATE,17 April 1967,17 April 1967,,CLEAN
DOW-UAP-D092,2,LOCATOR,Room SD982,Room SD982,,CLEAN
DOW-UAP-D092,2,LOCATOR,Tele. 697-4648,Tele. 697-4648,,CLEAN
DOW-UAP-D092,2,LOCATOR,Code 11-74648,Code 11-74648,,CLEAN
DOW-UAP-D092,2,LOCATOR,Room 4A,Room 4A,,CLEAN
DOW-UAP-D092,2,LOCATOR,Tele. 697-1128,Tele. 697-1128,,CLEAN
DOW-UAP-D092,2,LOCATOR,Code 11-71128,Code 11-71128,,CLEAN
DOW-UAP-D092,2,LOCATOR,Room 4C922,Room 4C922,,CLEAN
DOW-UAP-D092,2,LOCATOR,Tele. 695-5554,Tele. 695-5554,,CLEAN
DOW-UAP-D092,2,LOCATOR,Code 11-55554,Code 11-55554,,CLEAN
