release_id,source_file,title_meta,subject_meta,author_meta,producer,pdf_created,pdf_modified,pages,file_bytes,sha256,pages_no_text_layer,mean_ocr_quality,segments,release_stamps,doc_id_stamps,source_url,mirror_url,working_url
DOW-UAP-D092,DOW-UAP-D092_DAF-Committee-to-Review-Project-Bluebook_1966-1967.pdf,DOW-UAP-D092,DAF Committee to Review Project Bluebook 1966-1967,Department of War,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu Jul  2 13:05:02 2026 UTC,Wed Jul  8 13:13:57 2026 UTC,85,24142323,9c774fcb34ca56cf1b8da8bfe0413f42c6014c096215966c0fd919be5d77ec52,20,0.769,14,NW 90306;NW90306,34714841;34714;347148;341;347;3471,,,
FBI-UAP-D041,FBI-UAP-D041_Digital-Rendering-1_Multiple-Red-Lights_2026.pdf,FBI-UAP-D041,FBI-UAP-D041 Digital Rendering 1 Multiple Red Lights 2026,FBI,,Fri Jul 31 21:40:53 2026 UTC,Wed Aug  5 16:26:00 2026 UTC,6,652906,7416fff9cc1cb0e19e5d1f5b6efc2b031ea986403a049e3d6fa38d7965fa79e9,6,0.0,1,,,,,
CIA-UAP-D022,CIA-UAP-D022_Unidentified-Flying-Object-Reported-near-Puerto-Rico_1965.pdf,CIA-UAP-D022,CIA-UAP-D022 Unidentified Flying Object Reported near Puerto Rico 1965,CIA,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Wed Apr  9 11:35:50 1997 UTC,Wed Aug  5 16:16:37 2026 UTC,6,639051,358b0d2e45ff0320f4e4ad689f0c918362d6c5d36be765d386018d279d835b01,0,0.954,2,,,,,
FBI-UAP-D032,FBI-UAP-D032_FD-302_Slow-moving-Objects_2026.pdf,FBI-UAP-D032,FBI-UAP-D032 FD-302 Slow moving Objects 2026,FBI,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Fri Jul 31 21:12:07 2026 UTC,Wed Aug  5 16:24:07 2026 UTC,2,1270489,04684f8e8e0d9292e273b8e3152be6a22e195ce25f9c4a92b21c25b1813bd1e1,0,0.998,1,,,,,
DOW-UAP-D097,DOW-UAP-D097_Project-Sign-Progress-Report_1948.pdf,DOW-UAP-D097,Project Sign Progress Report 1948,Department of War,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu Jul  2 13:09:29 2026 UTC,Wed Jul  8 13:06:39 2026 UTC,45,10240953,4e191615a53faf81a49721ec594aee5f8c909026348a830025329d847a857e60,4,0.956,1,,,,,
FBI-UAP-D014,FBI-UAP-D014_Correspondence-Relating-to-UFO-Sightings_1967_1974.pdf,FBI-UAP-D014,Correspondence Relating to UFO Sightings 1967-1974,FBI,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu Jul  2 12:27:27 2026 UTC,Wed Jul  8 13:15:39 2026 UTC,5,339618,e91344aaa3cae8760bb695db30416048d94d333d3cf8e616dfd878ef60731379,0,0.923,2,,,,,
CIA-UAP-D020,CIA-UAP-D020_Memorandum-on-Unconventional-Aircraft-Sightings_1955.pdf,CIA-UAP-D020,Memorandum on Unconventional AIrcraft Sightings 1955,CIA,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Wed Apr  9 11:35:50 1997 UTC,Thu Jul  9 15:52:16 2026 UTC,3,368172,973be877f06b55373da6c7a1022ca25345fdeb7864414fe4ae29d83ef963b7e9,0,0.92,1,,,,,
DOW-UAP-D090,DOW-UAP-D090_Range-Fouler-Debrief_Eastern-US_2019.pdf,DOW-UAP-D090,Range Fouler Reporting Form,Department of War,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Mon Jun 22 15:25:50 2026 UTC,Wed Jul  8 13:02:59 2026 UTC,2,1449537,1bd82107a638e44f4f6011aaf6fb323bcdd36334a59980a5c19a5aad9ff69b52,0,0.997,1,,,,,
DOW-UAP-D096,DOW-UAP-D096_Correspondence-Relating-to-Project-Blue-Book_1955.pdf,DOW-UAP-D096,Correspondence Relating to Project Blue Book 1955,Department of War,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu Jul  2 12:56:56 2026 UTC,Wed Jul  8 13:08:53 2026 UTC,220,126111298,2c64dc1cd88ac9717cad81ecee9518af9310bebf5fc51596b85737374e2bf4cf,175,0.224,7,NW 91198;NW 91193,347,,,
DOW-UAP-D094,DOW-UAP-D094_Analysis-of-Flying-Object-Incidents-in-the-US_1949.pdf,DOW-UAP-D094,Analysis of Flying Object Incidents in the US 1949,Department of War,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu Jul  2 12:34:53 2026 UTC,Wed Jul  8 13:11:56 2026 UTC,34,15099002,59a30983288868000d7c82bf863a2af475834ad14b984fbe9e4b8bd521aaa1cb,9,0.775,2,,,,,
