release_id,pdf_page,ocr_text,ocr_char_count
Serial-4,1,"-1 of 2- O° Orricia. Recorp
FD-302 (Rev. 5-8-10) = AMy :
FEDERAL BUREAU OF INVESTIGATION
Date of entry 10/2023
MM oo eptember 2027, a a a es
MM OS 2c 220 special Agent I BE interviewed
ME OG 22 ecctine vices, i a : a i
| were in | at the time of the interview). After being
advised of the identity of the interviewing agents and the nature of the
interview, FY provided the following information:
a  :: 2 a >
SS © G2 <2
fs since |] and had ten to fifteen hours as a drone pilot.
GME © Septenber I 2023 NN was ot IE I MM with three
other contractors and 9] MJ for Lipar tests with JJ After
receiving a Jj BMJ the five of them got into three vehicles with
HN), Gx iving the first vehicle and JJ es her passenger.
(MEM The three vehicles began driving south around 7:30 am. The sun was
in the east with good visibility.
ig The three vehicles came to a gate that was giving | trouble.
At about three quarters of the windshield up, QM) saw a linear object
with a super bright light on the east side of the object. The light was
bright white and bright enough to see bands within the light. The object was
metallic / gray in color. It did not have any wings or exhaust. The object
was smaller than a 737, one to two Blackhawk helicopters in length and was
definitely bigger than a drone. The object was approximately 5000 feet above
ground level, and moved east to west parallel to the ground. The object was
visible for five to ten seconds and then the light went out and the object
vanished. The sky was clear and MJ couldn’t find the object again.
Investigationon 09/2023 a QE MJ United states (Other (Facetime Video) )
File # Lt Date drafted 10/2023
vy i a $$
This document contains neither recommendations nor conclusions of the FBI. It is the property of the FBI and is loaned to your agency, it and its contents are not
to be distributed outside your agency.",1859
Serial-5,1,"-1 of 2- O° Orricia, Recorp
FD-302 (Rev. 5-8-10) <M:
FEDERAL BUREAU OF INVESTIGATION
Date of entry 10/2023
i ee een |) hd,
WM 2°22 special Avent IN MN interviewed a Ia i
ee
in | at the time of the interview). After being advised of the
identity of the interviewing agents and the nature of the interview, | |
provided the following information:
eo oe oo or or Ver Go ee
(g | On September | | 2023 at around 9:00 am, | | was at i | |
MMMM criving east to a test site to acquire data for LiDAR testing with
ES SE =: ES 2 == ie iving an F150. BE vas
behind them, driving a GMC AT4 with J IMJ as his passenger. J
| was behind them driving a sprinter van.
(BMI The vehicles drove through a couple of gates and JJ saw a bright
light over the horizon. The light was stationary in the air, then started
moving to the right and then disappeared. JJ could see the light through
the top right of the vehicle’s windshield. The light was bright white and
was visible for ten seconds before it disappeared. The light stayed the same
size throughout the incident. || thought the light was ten to twenty miles
away. JJ did not notice any interference with his vehicle.
(HE HM pointed the light out to J but QJ looked in the wrong
direction. | was also tall and had his seat leaned back so he was not in
a good position to see the light. J was indifferent to the light until
they got to the first test site and | and fF said they saw
it too.
Investigation on 09/9/2023 a QE MNJ United states (other (Facetime Video) )
File # Lt Date drafted 10/2023
vy i a o_O _ oo
This document contains neither recommendations nor conclusions of the FBI. It is the property of the FBI and is loaned to your agency; it and its contents are not
to be distributed outside your agency",1748
DOW-UAP-D60-Mission-Report-Persian-Gulf-August-2020.pdf,1,"|
!
GT See
Misrep 4592219
Narrative |
Gani AT 0337Z[_14a_JTOOK OFF FROM OKAS. AT 03592! 14a [HANDED OVER FROM THE
LRE. FROM 0434Z TO 23002Z,[ 1.4a COLLECTED SIGINT VIA AIRHANDLER. FROM 0513Z TO
2256Z,[_1.4a SUPPORTED NAVCENT TO OPERATION[__t.4a__———_—«(iIVO ARABIAN
GULF, STRAIT OF HORMUZ AND GULF OF OMAN. SEE ISR LINE 1, AT 0726Z,[14a |
OBSERVED NOTEWORTHY ACTIVITY. SEE OBS LINE 1, AT 22562! 14.4a |WAS CLEARED TO
RTB. AT 0017Z{ 14a HANDED BACK TO THE LRE. AT 0045Z{ 74a [LANDED AT OKAS, FMV
WAS EXPLOITED BY DGS1. 20.3 MISSION HOURS, 17.7 IMINT HOURS, 1 IMINT TASKING
PROSECUTED, 18.4 SIGINT HOURS, 1 SIGINT TASKING PROSECUTED, 2 TOTAL TASKINGS
PROSECUTED
, [
Admin
CLASSIFICATION
* Classification: SB@RBi
* Associated Caveats: RREROWOnEnnaG
* Classification Source (MS or Classification Guide ID): MULTIPLE SOURCES
* Declassification Date (YYYYMMDD): 20450301
: |
OPERATION
* Operation:[_ 4a)
* Domain: AIR !
* Operations Center: 609th
* Major Command (MAJCOM): ACC
« Combatant Command (COCOM): USCENTCOM |
MSGID |
+ Report Type: MISREP
* Originator (Unit or Sqnadron): 482ATKS
+ Submit Date (Auto-generated):
MSNID
* Tasking Order (ATO): BP
ART i a A SE a
USCENTCOM MDR 26-0038 to MDR 26-0046 = Approved for Release to AARO 03/27/26 000001",1245
DOW-UAP-D60-Mission-Report-Persian-Gulf-August-2020.pdf,2,"ESE
* Mission Type: AREC
+ ATO Mission Number:
* Country Tasked: US - UNITED STATES
* Service Tasked: A - AIR FORCE
Poe
POC
* Rank: SrA
+ Full Name:[__@ya) oe)
© Unit: 482ATKS
+ Wing: 432 AEW
+ Phone Number:[___(by6)__]
+ Email)
* Service: Air Force
* Operations Center: 603 AOC
oC
* Rank: Ctr
+ FullName:__ oy) ]
* Unit: PAROC IDAT
* Wing: Other
+ Phone Number:[__(oy(6)__|
+ Email; (b\8)
* Service: Air Force
* Operations Center: Other
APPROVER
* Rank: Ist Lt
+ Full Name] (b)(3), (b)(6)
* Unit: 609th AOC
+ Wing: Other
+ Phone Number:|___(oy6) _|
+ Emai{ 7]
+ Service: Air Force
+ Operations Center: 609 CAOC
INGEST
SaaS ees
USCENTCOM MDR 26-0038 to MDR 26-0046 = Approved for Release to AARO. 03/27/26 000002",712
DOW-UAP-D60-Mission-Report-Persian-Gulf-August-2020.pdf,3,"USE PESTO
¢ Rank:
¢ Full Name;
* Unit:
* Wing:
¢ Phone Number:
+ Email:
* Service:
* Operations Center:
ACEQUIP
ACEQUIP
* Aircraft Callsign{___14a___|
+ Radar Name or Destination: -
« Radar Software Load or Mission Data: -
« Radar Warning Receiver (RWR) Name or Designator: -
* RWR Software Load or Mission Data: -
» MWS Name or Designator: -
* MWS Software Load or Mission Data: -
* IRCM Name or Designator: -
+ TRCM Software Load or Mission Data: -
+ ECM Name or Designator: -
* ECM Software Load or Mission Data: -
« CMD Name or Designator: -
¢ Chaff Designator: -
« Num Chaff or Cartridges: -
° Flare Designator: -
* Num Flares: -
* Towed Decoy Name or Designator: -
* Towed Decoy Software Load or Mission Data: -
* Num Towed Decoys: -
* Type of Radar-Guided AAM: -
* Num Radar-Guided AAM: -
+ Type of IR-Guided AAM: -
+ Num IR-Guided AAM: -
+ Gun Name or Designator: -
+ Num Gun Rounds: -
* Air-to-Ground Wpn to Include Num of Each; 1 -4(a)
* TGT Pod Name or Designator; ANDAS4
* Additional Avionics: AH_GMESH
* Data Link: -
EGRET Aaa
USCENTCOM MDR 26-0038 to MDR 26-0046 — Approved for Release to 03/27/26 000003",1118
DOW-UAP-D60-Mission-Report-Persian-Gulf-August-2020.pdf,4,"De ea]

+ Gentext: -

Timeline

Landing

¢ Last Land Location (ICAO Code): OKAS.

° Last Land Time: 090045:00ZAUG20

* Last Engine Shatdown Time: 090055:00ZAUG20

* Total Mission Time: 21 hours 8 minutes

+ Gentext/Additional Details: -

GUARDCALL

* GUARDCALL DTG: 081250:00ZAUG20

+ Aircraft Callsign:[_ 14a

* Ground Station Callsign: IRANIAN AIR DEFENSE GUARD

+ Aircraft Location: 40RCP9& ap 7i.4al

¢ Aircraft Heading: HDG 200

« Aircraft Altitude: FL 170

¢ Aircraft Airspeed: 110 KIAS

* Number of Calls Noted from the Same Agency: |

¢ Guardcall Tone: PROFESSIONAL

GENTEXT/GUARDCALL

+ Gentext: «Gilley AT 1250Z,[4.4a WAS HAILED ON GUARD[__1.4a__ BY IRANIAN AIR

DEFENSE. ORDERS GIVEN: STANDARD CALL.[1.4a JRESPONDED STANDARD RESPONSE.

NO IMPACT TO THE MISSION

OBSERVATION

+ Ohservation DTG: 080726:00ZAUG20

+ Aircraft Callsign:[___14a _]

+ Aircraft Location: 39RWK9{L 424143)

+ Aircraft Heading: -

« Aircraft Altitude: ~

« Aircraft Airspeed: -

» Relative Bearing or Clock Position: -

« Range: -

+ Killbox & Keypad: -

© Observed Activity Location: 39RVL9U4ab 31.4al
eROSSD a seer

USCENTCOM MDR 26-0038 to MDR 26-0046 Approved for Release to AARO 03/27/26 000004",1184
DOW-UAP-D60-Mission-Report-Persian-Gulf-August-2020.pdf,5,"Dna eae ed]
T
* Observed Activity Description: TRANSITTING
* Method of Observation: FMV
GENTEXT/OBSERVATION
+ Gentext: S@niiBlsAT 0726Z,[ 44a JOBSERVED 1X UAP IVO 39RWLOGiaa5 Aida] NO IMPACT
TO MISSION.
WEATHER
« Weather: WEATHER WAS NOT A FACTOR
Takeoff
+ Callsign:[ ras]
« Number of Aircraft: |
+ Asset Type (Aireraft):[i4a, 1.4g
* Aircraft Tail Number(s):
* Takeoff Location (ICAO Code): OKAS
* Takeoff Time DTG: 080337:00ZAUG20
* Mode 3 (LFF Codes): -
* Gentext/Additional Details: -
« Mission Canceled:
On Station
* Time On Station DTG: 080359:00ZAUG20
* Callsign:[_14s
+ JTAR Number: -
* Killbox (Location): -
¢ Mission Type: AREC
* JTAC Callsign; -
* Gentext/A dditional Details: -
* Did not Arrive On Station:
ISR
¢ Time-on Station DTG: 080513:00ZAUG20
* Time-off Station DTG: 082256:00ZAUG20
+ Aircraft Callsign:[ 14a _|
* Msn Type: AREC
* Primary Sensor: ANDAS4
* Sensors Available: AH\GMESH
a
USCENTCOM MDR 26-0038 to MDR 26-0046 Approved for Release to lad 03/27/26 000005",984
DOW-UAP-D60-Mission-Report-Persian-Gulf-August-2020.pdf,6,"SS a
* Tasking Type: PLANNED
¢ Tasking or Request Number (JTAR#, AEM#, PRI#, or TIC#): -
* BE Number (if NTISR): -
* Tasked Start Point: 39RVN344e3Ii4a
« Activity Description: ISR
¢ FMV or Image File Name (if NTISR): -
GENTEXTHSR
* Gentext:éidiitiaiayl i4a—_— | COORDINATED WITH NAVCENT 24 HOURS PRIOR
TO TAKE OFF. PRECOORD WAS SATISFACTORY. AT 0513Z,[1.4a JARRIVED ON STATION ISO
NAVCENT TO OPERATION[___1.4a___ ][0 CONDUCT SCANS FOR IDENTIFIED
IRIN\IRGCN VESSELS TO ESTABLISH PATTERN OF LIFE, UAS ACTIVITY AND
CHARACTERIZE ACTIVITY OUTSIDE OF PORTS, FROM 0513Z TO 22562, 14a JCONDUCTED
SCANS IAW THE TARGET DECK IN THE ARABIAN GULF (AG). AT 0726Z, 1.4a JOBSERVED
NOTEWORTHY ACTIVITY. SEE OBS LINE 1. AT 2256Z,[_4.4a ]WAS CLEARED OFF TASKING
AND RETURNED TO BASE (RTB)
ISR ASSET UTILIZATION
+ Supported Unit; NAVCENT
¢ Supported Operation: OPERATION[ oo t4a_
© Precoord Time: 24 HOURS
© Precoord Effectiveness: SATISFACTORY
WEATHER
* Weather: DENSE CLOUD COVERAGE INTERMITTANTLY IMPACTED FMV COLLECTION
EFFECTIVENESS
* Tasker:
© Intel Gap Filled?: No
+ Gentext: -
Off Station
* Time Off Station DTG: 090017:00ZAUG20
* Total Time On Station: 20 hours 18 minutes
ESTE a es eer
USCENTCOM MDR 26-0038 to MDR 26-0046 = Approved for Release to AARO 03/27/26 000006",1259
DOW-UAP-D63-Mission-Report-Strait-of-Hormuz-October-2020.pdf,1,"|
| F
|
A —— rw |
Misrep 4871281
Narrative
MES AT 22492[ 1.40 TOOK OFF FROM OKAS. AT 2300Z |ANDED OVER FROM THE
LRE.FROM 233827008252 ta «FROM ISI9ZTO
1sssz{SS~™~—S—sas SSSS~S~SC*&mROMOITZTO1835Z]_ 1.40 |
SUPPORTED NAVCENT FOR OPERATION, oiuida VO ARABIAN GULF, STRAIT
OF HORMUZ AND GULF OF OMAN. SEE ISR LINE 1. AT 0727Z[ 4.4a RECEIVED A
GUARDCALL. SEE GUARDCALL LINE 1. AT 0854Z[ 14a RECEIVED A GUARD CALL. SEE
GUARDCALL LINE 2. AT 1122Z{ 1.44 RECEIVED A GUARD CALL. SEE GUARDCALL LINE 3.
AT 1236Z| 14a RECEIVED A GUARD CALL. SEE GUARD CALL LINE 4. AT 1315Z[ 148 _]
RECEIVED GUARDCALL. SEE GUARD CALL LINE 5. AT 1829Z,| 14a OBSERVED 1X UAP, SEE
OBSERVATION LINE 1. AT 18352| 14s WVAS CLEARED TO RTB. AT 19227| 14a HANDED
BACK TO THE LRE. AT 1953Z|_4.4a [LANDED AT OKAS. FMV WAS EXPLOITED BY DGS-1. 21
MISSION HOURS, 17.3 IMINT HOURS, | IMINT TASKING PROSECUTED, 15.3[_1.4a_|HOURS, 3
[ 1se_| ""ASKING PROSECUTED, 4 TOTAL TASKINGS PROSECUTED
|
Admin
CLASSIFICATION
* Classification: Si
+ Associated Caveats:
* Classification Source (MS or Classification Guide ID): MULTIPLE SOURCES
* Declassification Date (YYYYMMDD): 20450301
OPERATION
* Operation: [_iyiaa
* Domain: AIR
+ Operations Center: 609th
* Major Command (MAJCOM): AFCENT
* Combatant Command (COCOM): USCENTCOM
MSGID
» Report Type: MISREP
* Originator (Unit or Sqnadron): 482ATKS
* Submit Date (Auto-generated):
5:1 cc
al
USCENTCOM MDR 26-0028 Approved for Release to AARO- FOUG+PA applies 03/16/26 000001
|",1466
DOW-UAP-D63-Mission-Report-Strait-of-Hormuz-October-2020.pdf,2,"=z ;
MSNID
* Tasking Order (ATO): DR
* Mission Type: AREC
+ ATO Mission Number: 6y1)1,4h
+ Country Tasked: US - UNITED STATES
+ Service Tasked: A - AIR FORCE
Poc
POC
+ Rank: AIC
° Full Namerge, (by), 1306. (bis)
* Unit: 482 ATKS
* Wing: 432 AEW
* Phone Number: [gsc (pve) |
» Email: (352 tye)
* Service: Air Force
° Operations Center: 609 CAOC
ec
* Rank: Ctr
+ Full Name: (—3aebi)—]
* Unit: PAROC
* Wing: Other
* Phone Number: [""35¢, (by6) |
* Email; (gates)
+ Service: Air Force
* Operations Center: Other
APPROVER
» Rank: Capt
+ Foll Namgaf, (03), 1306, (bi{6)
¢ Unit: 609 AOC ISRD Unit Support
* Wing: Other
+ Phone Number: (35c (ve) |
+ Email: [73.50 (big)
* Service: Air Force
* Operations Center: 609 CAOC
a: 50 51:1 ccc
a
USCENTCOM MDR 26-0028. Approved for Release to AARO- FOUO+PA applies 03/16/26 000002",813
