release_id,segment_no,start_page,end_page,subject_line,routing,first_date_verbatim,doc_id_stamp
DOW-UAP-D092,1,1,1,,,,
DOW-UAP-D092,2,2,5,,,17 April 1967,34714841
DOW-UAP-D092,3,6,8,,,20 Apr 66,34714841
DOW-UAP-D092,4,9,14,Implementing SAB Ad Hoc Coan:lttee on Project Blue Book,,20 April 1966,
DOW-UAP-D092,5,15,17,Conversation with Dr. Stever Concerning SAB Support to USAF,,18 May 1966,341
DOW-UAP-D092,6,18,21,,,,
DOW-UAP-D092,7,22,25,,,30 June 1965,34714841
DOW-UAP-D092,8,26,26,,,,3471
DOW-UAP-D092,9,27,32,,,6 February 1969,34714841
DOW-UAP-D092,10,33,35,Some Notes Concerning a Progress Report on,,16 May 1967,347
DOW-UAP-D092,11,36,41,"Visit by Mr. William P. Wietzel, NICAP",,10 August 1966,
DOW-UAP-D092,12,42,44,,TO: RECORD,1 January 1966,
DOW-UAP-D092,13,45,48,,,,34714841
DOW-UAP-D092,14,49,85,Report of Mectines of tho,,16 February 1953,
FBI-UAP-D041,1,1,6,,,,
CIA-UAP-D022,1,1,5,,,,
CIA-UAP-D022,2,6,6,Unidentified Flying Object,MEMORANDUM FOR: Assistant Director for Scientific Intelligence,24 November 1964,
FBI-UAP-D032,1,1,2,,,,
DOW-UAP-D097,1,1,45,,,1 July 1948,
FBI-UAP-D014,1,1,1,,,,
FBI-UAP-D014,2,2,5,U O-~~G,,9/22/67,
CIA-UAP-D020,1,1,3,,,,
DOW-UAP-D090,1,1,2,,,,
DOW-UAP-D096,1,1,85,,,,
DOW-UAP-D096,2,86,113,Falling ObJeot - Sardis Lake,"TO: Intelligence Officer, u. a. Air Force, Washington, D. a.",,
DOW-UAP-D096,3,114,160,,,,
DOW-UAP-D096,4,161,168,,,,
DOW-UAP-D096,5,169,199,(Uncl) Request tor UFO In:form&tion tor Publishing Purposes,,,
DOW-UAP-D096,6,200,206,,TO: tJ. S. Air Attacbe,,
DOW-UAP-D096,7,207,220,Letter,,,
DOW-UAP-D094,1,1,32,,,,
DOW-UAP-D094,2,33,34,,,5 Dec 0900,
DOE-UAP-D004,1,1,25,,,,
CIA-UAP-D021,1,1,4,,,,
DOW-UAP-D091,1,1,2,,,,
DOW-UAP-D093,1,1,67,,,,
DOW-UAP-D095,1,1,2,,,,
DOW-UAP-D095,2,3,26,,,,
DOW-UAP-D095,3,27,29,,,,
DOW-UAP-D095,4,30,56,,,14 December 1954,
DOW-UAP-D095,5,57,57,CIBVIS Program,,,
DOE-UAP-D005,1,1,7,,,"September 2, 2015",
DOW-UAP-D089,1,1,2,,,,
FBI-UAP-D038,1,1,1,,,,
FBI-UAP-D033,1,1,2,,,,
DOS-UAP-D002,1,1,2,"Reportedly Sighted Near Salvador, Bahia on November 8, 1964",FROM: Amembassy RIO DE JANE:mO,"November 8, 1964",
DOW-UAP-D098,1,1,23,,,,
DOS-UAP-D001,1,1,1,,,11/14/63,
FBI-UAP-D028,1,1,3,,,,
DOW-UAP-D101,1,1,3,,,6/1/22,
DOW-UAP-D101,2,4,7,(6/IN~ 1.4c Multiple,,6/1/22,
FBI-UAP-D027,1,1,5,,,,
FBI-UAP-D026,1,1,3,,,,
EOP-UAP-D001,1,1,1,,,,
DOW-UAP-D100,1,1,2,,,30 Decembor 1947,
DOW-UAP-D100,2,3,11,,,,
DOW-UAP-D100,3,12,17,"""Project 'Sing'""","TO: Chief of Staff, United States Air Force, Washingt Ln 25, D C.",26 Octo 48,
DOW-UAP-D100,4,18,37,Request for information concerning stranue aircraft,,"Sept. 14, 1948",
DOW-UAP-D100,5,38,46,"""Reported Flying Disc""",,25 October 1948,
DOW-UAP-D100,6,47,60,Communication Instructions for Reporting Military Intelligence,"TO: Director of Communications, DCS/0",9 Sep 19,
DOW-UAP-D100,7,61,67,Concerning Flying Disc,TO: -Chief of Staff,2 August 1948,
DOW-UAP-D100,8,68,94,"Report of rtFlying Discs""",TO: Chiet ot Sta!'t,8 May 48,
DOW-UAP-D100,9,95,95,,TO: Chief of Staff,"Apr 13, 1948",
DOW-UAP-D100,10,96,114,"German Scientists (Civil), leimar Horten",,,
DOW-UAP-D100,11,115,122,"Report ot Information on ""Flying 1)1.ac""",THRU: Commanding General,12 April 1948,
DOW-UAP-D100,12,123,129,Ply~ Dieca 5 APR1948,,2 Apr 48,
DOW-UAP-D100,13,130,140,,TO: AFCVC                AFAAC      AFOPO • | FOR: NECESSARY ACTION,,
DOW-UAP-D100,14,141,149,,,,
DOW-UAP-D100,15,150,151,"Project ""SIGN"" MAR 10 1948","TO: Chief of Staff, United States Air Force, Washington 25, D. C.",17 Mar 1948,
DOW-UAP-D100,16,152,172,"Project ""SIGN""",,,
DOW-UAP-D100,17,173,182,,,25 Feb 48,
DOW-UAP-D100,18,183,183,"tio on 11Flyine Diocl'.l""","TO: l1l     G neral,    stra\e~ic Air Cofl'Jll.'Uld",,
DOW-UAP-D100,19,184,189,,,6 February 1948,
DOW-UAP-D100,20,190,197,,TO: Chiet ot Statt,7 October 1947,
DOW-UAP-D100,21,198,201,"""Flying Discs""",TO: Chief of Staff,16 Jan 48,
DOW-UAP-D100,22,202,205,,"TO: '           ndi.ng Ounert1l., Air ter.ii l ~and, lrj,eht.-Patt.or.oon ir",16 January 1948,
DOW-UAP-D100,23,206,222,,,6 Jan 48,
DOW-UAP-D100,24,223,225,,TO: _ _SECRETARY OF THE AIR FORCE | FOR: _ _APPROVAL,,
DOW-UAP-D100,25,226,236,Report of Flying Disc,TO: Chief of Staff,4 Feb 48,
DOW-UAP-D100,26,237,245,,,18 December 1947,
DOW-UAP-D099,1,1,8,,,,
FBI-UAP-D039,1,1,3,,,,
FBI-UAP-D042,1,1,1,,,,
FBI-UAP-D024,1,1,3,,,,
FBI-UAP-D037,1,1,3,,,,
FBI-UAP-D040,1,1,2,,,,
CIA-UAP-D023,1,1,2,,,,
FBI-UAP-D030,1,1,3,,,,
CIA-UAP-D001,1,1,3,,,,
DOE-UAP-D002,1,1,4,,,,
DOW-UAP-D017,1,1,2,Security :E:nspection,,7 April 1949,
DOW-UAP-D017,2,3,13,"ll'T.- ;,J)..o;y ~·o ¥",,,
DOW-UAP-D017,3,14,19,Board to Inspect Special u1eapons Facilities,TO: Commanding General,29 November 1949,
DOW-UAP-D017,4,20,62,Summary of Observations of Aerial Phenomena in the New,TO: Brigadier General Joseph F . Carroll,,
DOW-UAP-D017,5,63,69,Anomalous Luminous Phenomena ( Seventh Report),,,
DOW-UAP-D017,6,70,70,lP'TKNOWN (Aerial Phenomena),TO: Commanding General,18 May 1949,
DOW-UAP-D017,7,71,85,,,9 April 1949,
DOW-UAP-D017,8,86,116,IDT: Unidenti fied Fl ying Objects,TO: The Chief,31 December 1948,
DOE-UAP-D001,1,1,2,,,,
DOE-UAP-D003,1,1,1,,,"May 20, 1986",
ODNI-UAP-D001,1,1,2,,,1 May 26,
Serial-3,1,1,2,,,,
Serial-4,1,1,2,,,,
Serial-5,1,1,2,,,,
Western-US-Event-Slides,1,1,4,,,,
USPER-Statement,1,1,3,,,,
DOW-UAP-D56-Range-Fouler-Debrief-Arabian-Sea-August-2020.pdf,1,1,1,,,08/24/20,
DOW-UAP-D57-Mission-Report-Gulf-of-Aden-September-2020.pdf,1,1,1,,,09/04/20,
DOW-UAP-D58-Range-Fouler-Debrief-NA-October-2020.pdf,1,1,1,,,10/27/20,
DOW-UAP-D60-Mission-Report-Persian-Gulf-August-2020.pdf,1,1,6,,,,
DOW-UAP-D61-Mission-Report-Persian-Gulf-August-2020.pdf,1,1,7,,,22 January 2026,
DOW-UAP-D62-Mission-Report-Strait-of-Hormuz-September-2020.pdf,1,1,9,,,22 January 2026,
DOW-UAP-D63-Mission-Report-Strait-of-Hormuz-October-2020.pdf,1,1,8,,,,
DOW-UAP-D64-Mission-Report-Iran-November-2020.pdf,1,1,7,,,16 March 2026,
DOW-UAP-D65-Mission-Report-Persian-Gulf-July-2020.pdf,1,1,8,,,,
DOW-UAP-D74-Mission-Report-Syria-November-2023.pdf,1,1,10,,,2 June 2025,
DOW-UAP-D75-Mission-Report-Gulf-of-Aden-July-2024.pdf,1,1,8,,,2 June 2025,
DOW-UAP-PR20.pdf,1,1,1,,,8 Oct 25,
FBI-Photo-B1.pdf,1,1,1,,,,
FBI-Photo-B10.pdf,1,1,1,,,,
FBI-Photo-B11.pdf,1,1,1,,,,
FBI-Photo-B12.pdf,1,1,1,,,,
FBI-Photo-B13.pdf,1,1,1,,,,
FBI-Photo-B14.pdf,1,1,1,,,,
FBI-Photo-B15.pdf,1,1,1,,,,
FBI-Photo-B16.pdf,1,1,1,,,,
FBI-Photo-B17.pdf,1,1,1,,,,
FBI-Photo-B18.pdf,1,1,1,,,,
FBI-Photo-B19.pdf,1,1,1,,,,
FBI-Photo-B2.pdf,1,1,1,,,,
FBI-Photo-B20.pdf,1,1,1,,,,
FBI-Photo-B21.pdf,1,1,1,,,,
FBI-Photo-B22.pdf,1,1,1,,,,
FBI-Photo-B23.pdf,1,1,1,,,,
FBI-Photo-B24.pdf,1,1,1,,,,
FBI-Photo-B3.pdf,1,1,1,,,,
FBI-Photo-B4.pdf,1,1,1,,,,
FBI-Photo-B5.pdf,1,1,1,,,,
FBI-Photo-B6.pdf,1,1,1,,,,
FBI-Photo-B7.pdf,1,1,1,,,,
FBI-Photo-B8.pdf,1,1,1,,,,
FBI-Photo-B9.pdf,1,1,1,,,,
NASA-UAP-D1-Apollo-12-Transcript-1969.pdf,1,1,4,,,,
NASA-UAP-D2-Apollo-17-Transcript-1972.pdf,1,1,16,,,,
NASA-UAP-D4-Apollo-11-Technical-Crew-Debriefing-1969.pdf,1,1,11,,,,
NASA-UAP-D5-Apollo-17-Crew-Debriefing-for-Science-1973.pdf,1,1,3,,,,
NASA-UAP-D6-Apollo-17-Technical-Crew-Debriefing-1973.pdf,1,1,2,,,,
NASA-UAP-D7-Skylab-Technical-Crew-Debriefing-1973.pdf,1,1,11,,,,
059UAP00011.pdf,1,1,3,UFOS OVER GEORGIA: STRANGE ENCOUNTERS OF AN MFA KIND,,"Oct 30, 2001",
